countryName,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Youth illiterate population, 15-24 years, both sexes",176,173,170,170,168,167,165,165,163,162,161,153,146,145,144,146,143,140,134,134,133,133,127,126,125,126,113,111,107,104,102
"Youth illiterate population, 15-24 years, female",107,105,105,105,103,103,102,101,100,99,98,92,90,89,88,88,87,85,82,83,82,80,77,76,74,72,67,65,62,60,58
"Youth illiterate population, 15-24 years, male",68,68,65,65,64,64,64,63,63,63,63,61,56,56,56,57,56,54,52,51,51,53,50,50,51,53,46,46,45,44,44
