countryName,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Youth literacy rate, population 15-24 years, both sexes",81,82,83,83,83,83,84,84,84,84,84,85,86,86,87,87,87,88,88,89,89,89,90,90,90,90,91,91,91,91,91
"Youth literacy rate, population 15-24 years, female",77,78,78,78,79,79,79,80,80,80,81,82,82,83,83,83,84,85,86,86,86,86,87,87,87,88,89,89,89,90,90
"Youth literacy rate, population 15-24 years, male",86,86,87,87,87,87,88,88,88,88,88,89,90,90,90,90,90,91,91,91,92,91,92,92,92,91,93,93,93,93,93
